time,strategy,target,monitored,detected,compromised_node,compromised_ratio,avg_risk,Ud_val,Ua_val
27,Nash,Device8,"['Device36', 'Device44', 'Device42', 'Device35', 'Device49']",False,False,0.34,0.6394,0.0,0.0
28,Nash,Device49,"['Device36', 'Device44', 'Device42', 'Device35', 'Device49']",True,True,0.36,0.6414,-1.0,1.0
29,Nash,Device1,"['Device36', 'Device44', 'Device42', 'Device35', 'Device5']",False,False,0.36,0.6456,0.0,0.0
30,Nash,Device40,"['Device36', 'Device44', 'Device42', 'Device35', 'Device5']",False,False,0.36,0.6506,0.0,0.0
31,Nash,Device23,"['Device36', 'Device44', 'Device42', 'Device35', 'Device40']",False,True,0.38,0.6552,-2.0,2.0
32,Nash,Device20,"['Device36', 'Device44', 'Device42', 'Device35', 'Device40']",False,True,0.4,0.662,-2.0,2.0
33,Nash,Device40,"['Device36', 'Device44', 'Device42', 'Device35', 'Device40']",True,True,0.42,0.664,-1.0,1.0
34,Nash,Device43,"['Device36', 'Device44', 'Device42', 'Device35', 'Device5']",False,False,0.42,0.6682,0.0,0.0
35,Nash,Device8,"['Device36', 'Device44', 'Device42', 'Device35', 'Device5']",False,True,0.44,0.6726,-2.0,2.0
36,Nash,Device1,"['Device36', 'Device44', 'Device42', 'Device35', 'Device5']",False,True,0.46,0.6794,-2.0,2.0
37,Nash,Device44,"['Device36', 'Device44', 'Device42', 'Device35', 'Device5']",True,True,0.48,0.6804,-1.0,1.0
38,Nash,Device35,"['Device36', 'Device42', 'Device35', 'Device5', 'Device43']",True,True,0.48,0.6816,-1.0,1.0
39,Nash,Device16,"['Device35', 'Device36', 'Device42', 'Device5', 'Device43']",False,False,0.48,0.6866,0.0,0.0
40,Nash,Device50,"['Device35', 'Device36', 'Device42', 'Device5', 'Device43']",False,False,0.48,0.691,0.0,0.0
41,Nash,Device31,"['Device35', 'Device36', 'Device42', 'Device50', 'Device5']",False,False,0.48,0.697,0.0,0.0
42,Nash,Device9,"['Device35', 'Device36', 'Device42', 'Device50', 'Device5']",False,False,0.48,0.7018,0.0,0.0
43,Nash,Device16,"['Device35', 'Device36', 'Device42', 'Device50', 'Device5']",False,False,0.48,0.7078,0.0,0.0
44,Nash,Device9,"['Device16', 'Device35', 'Device36', 'Device42', 'Device50']",False,False,0.48,0.7128,0.0,0.0
45,Nash,Device43,"['Device16', 'Device35', 'Device36', 'Device42', 'Device9']",False,True,0.5,0.7178,-2.0,2.0
46,Nash,Device26,"['Device16', 'Device35', 'Device36', 'Device42', 'Device9']",False,False,0.5,0.7226,0.0,0.0
47,Nash,Device18,"['Device16', 'Device35', 'Device36', 'Device42', 'Device9']",False,False,0.5,0.7268,0.0,0.0
48,Nash,Device35,"['Device16', 'Device35', 'Device36', 'Device42', 'Device9']",False,True,0.52,0.7302,-2.0,2.0
49,Nash,Device36,"['Device16', 'Device36', 'Device42', 'Device9', 'Device50']",False,True,0.54,0.734,-2.0,2.0
50,Nash,Device34,"['Device16', 'Device42', 'Device9', 'Device50', 'Device5']",False,False,0.54,0.739,0.0,0.0
51,Nash,Device7,"['Device16', 'Device42', 'Device9', 'Device50', 'Device34']",False,True,0.56,0.7448,-2.0,2.0
52,Nash,Device9,"['Device16', 'Device42', 'Device9', 'Device50', 'Device34']",False,True,0.58,0.7494,-2.0,2.0
53,Nash,Device34,"['Device16', 'Device42', 'Device50', 'Device34', 'Device5']",True,True,0.6,0.7512,-1.0,1.0
54,Nash,Device26,"['Device16', 'Device42', 'Device50', 'Device5', 'Device2']",False,False,0.6,0.756,0.0,0.0
55,Nash,Device17,"['Device16', 'Device26', 'Device42', 'Device50', 'Device5']",False,True,0.62,0.7616,-2.0,2.0
56,Nash,Device14,"['Device16', 'Device26', 'Device42', 'Device50', 'Device5']",False,False,0.62,0.7664,0.0,0.0
57,Nash,Device15,"['Device16', 'Device26', 'Device42', 'Device50', 'Device5']",False,False,0.62,0.7722,0.0,0.0
58,Nash,Device3,"['Device16', 'Device26', 'Device42', 'Device50', 'Device5']",False,False,0.62,0.777,0.0,0.0
59,Nash,Device18,"['Device16', 'Device26', 'Device42', 'Device50', 'Device3']",False,False,0.62,0.7818,0.0,0.0
60,Nash,Device22,"['Device16', 'Device26', 'Device42', 'Device18', 'Device50']",False,False,0.62,0.7872,0.0,0.0
61,Nash,Device5,"['Device16', 'Device26', 'Device42', 'Device18', 'Device50']",False,True,0.64,0.7924,-2.0,2.0
62,Nash,Device18,"['Device16', 'Device26', 'Device42', 'Device18', 'Device50']",False,True,0.66,0.7968,-2.0,2.0
63,Nash,Device2,"['Device16', 'Device26', 'Device42', 'Device50', 'Device3']",False,True,0.68,0.8024,-2.0,2.0
64,Nash,Device33,"['Device16', 'Device26', 'Device42', 'Device50', 'Device3']",False,True,0.7,0.809,-2.0,2.0
65,Nash,Device42,"['Device16', 'Device26', 'Device42', 'Device50', 'Device3']",True,True,0.72,0.8102,-1.0,1.0
66,Nash,Device50,"['Device16', 'Device26', 'Device50', 'Device3', 'Device15']",True,True,0.74,0.8118,-1.0,1.0
67,Nash,Device16,"['Device16', 'Device26', 'Device3', 'Device15', 'Device4']",True,True,0.76,0.812,-1.0,1.0
68,Nash,Device15,"['Device26', 'Device3', 'Device15', 'Device4', 'Device31']",False,True,0.78,0.8164,-2.0,2.0
69,Nash,Device26,"['Device26', 'Device3', 'Device4', 'Device31', 'Device22']",False,True,0.8,0.82,-2.0,2.0
70,Nash,Device22,"['Device3', 'Device4', 'Device31', 'Device22', 'Device14']",True,False,0.8,0.8236,1.0,-1.0
71,Nash,Device45,"['Device3', 'Device22', 'Device4', 'Device31', 'Device14']",False,False,0.8,0.8288,0.0,0.0
72,Nash,Device4,"['Device3', 'Device22', 'Device4', 'Device45', 'Device31']",False,False,0.8,0.8332,0.0,0.0
73,Nash,Device4,"['Device4', 'Device3', 'Device22', 'Device45', 'Device31']",True,True,0.82,0.8334,-1.0,1.0
74,Nash,Device3,"['Device3', 'Device22', 'Device45', 'Device31', 'Device14']",True,True,0.82,0.835,-1.0,1.0
75,Nash,Device31,"['Device3', 'Device22', 'Device45', 'Device31', 'Device14']",True,False,0.82,0.8366,1.0,-1.0
76,Nash,Device3,"['Device3', 'Device22', 'Device31', 'Device45', 'Device14']",False,True,0.84,0.8402,-2.0,2.0
77,Nash,Device22,"['Device22', 'Device31', 'Device45', 'Device14', 'Device13']",False,True,0.86,0.8468,-2.0,2.0
78,Nash,Device14,"['Device31', 'Device45', 'Device14', 'Device13', 'Device29']",True,False,0.86,0.8502,1.0,-1.0
79,Nash,Device31,"['Device31', 'Device45', 'Device14', 'Device13', 'Device29']",True,True,0.86,0.8542,-1.0,1.0
80,Nash,Device31,"['Device31', 'Device45', 'Device14', 'Device13', 'Device29']",True,True,0.88,0.8548,-1.0,1.0
81,Nash,Device14,"['Device45', 'Device14', 'Device13', 'Device29', 'Device37']",True,False,0.88,0.8568,1.0,-1.0
82,Nash,Device14,"['Device14', 'Device45', 'Device13', 'Device29', 'Device37']",True,True,0.88,0.859,-1.0,1.0
83,Nash,Device45,"['Device14', 'Device45', 'Device13', 'Device29', 'Device37']",True,True,0.88,0.8624,-1.0,1.0
84,Nash,Device14,"['Device45', 'Device14', 'Device13', 'Device29', 'Device37']",False,True,0.9,0.8676,-2.0,2.0
85,Nash,Device45,"['Device11', 'Device13', 'Device29', 'Device37', 'Device45']",True,True,0.92,0.8696,-1.0,1.0
86,Nash,Device29,"['Device11', 'Device13', 'Device29', 'Device37']",False,False,0.92,0.8754,0.0,0.0
87,Nash,Device29,"['Device11', 'Device13', 'Device29', 'Device37']",True,False,0.92,0.8784,1.0,-1.0
88,Nash,Device29,"['Device11', 'Device13', 'Device29', 'Device37']",False,True,0.94,0.8852,-2.0,2.0
89,Nash,Device13,"['Device11', 'Device13', 'Device37']",True,False,0.94,0.8872,1.0,-1.0
90,Nash,Device13,"['Device11', 'Device13', 'Device37']",True,False,0.94,0.8906,1.0,-1.0
91,Nash,Device13,"['Device11', 'Device13', 'Device37']",True,False,0.94,0.8928,1.0,-1.0
92,Nash,Device13,"['Device11', 'Device13', 'Device37']",True,True,0.94,0.8958,-1.0,1.0
93,Nash,Device13,"['Device11', 'Device13', 'Device37']",True,True,0.96,0.8968,-1.0,1.0
94,Nash,Device11,"['Device11', 'Device37']",False,False,0.96,0.9024,0.0,0.0
95,Nash,Device11,"['Device11', 'Device37']",True,False,0.96,0.9042,1.0,-1.0
96,Nash,Device11,"['Device11', 'Device37']",True,False,0.96,0.9078,1.0,-1.0
97,Nash,Device11,"['Device11', 'Device37']",False,True,0.98,0.9118,-2.0,2.0
98,Nash,Device37,['Device37'],True,False,0.98,0.9152,1.0,-1.0
99,Nash,Device37,['Device37'],False,False,0.98,0.922,0.0,0.0
